"row_id","order_id","order_date","ship_date","customer_id","product_id","quantity","discount","sales","profit","ship_mode"
"1","ORD-00609","2024-03-09","2024-03-16","CUST-0209","PROD-0012","1","0.15","235.08","55.25","Standard Class"
"2","ORD-02201","2024-08-25","2024-08-30","CUST-0226","PROD-0018","6","0.05","447.05","145.61","Standard Class"
"3","ORD-04664","2025-05-09","2025-05-14","CUST-0071","PROD-0007","7","0.00","2867.55","847.63","Second Class"
"4","ORD-01900","2024-10-18","2024-10-20","CUST-0067","PROD-0036","6","0.00","2978.34","813.48","Standard Class"
"5","ORD-00740","2023-05-22","2023-05-25","CUST-0060","PROD-0006","10","0.15","6013.24","2013.54","Standard Class"
"6","ORD-04116","2024-04-27","2024-04-29","CUST-0104","PROD-0030","10","0.00","5313.60","1680.50","Standard Class"
"7","ORD-03003","2024-01-26","2024-02-01","CUST-0064","PROD-0009","1","0.00","458.46","197.99","Standard Class"
"8","ORD-01081","2024-09-12","2024-09-14","CUST-0190","PROD-0038","2","0.00","332.20","82.58","Standard Class"
"9","ORD-05413","2023-06-09","2023-06-16","CUST-0017","PROD-0017","7","0.00","655.13","306.04","Standard Class"
"10","ORD-05454","2024-04-08","2024-04-12","CUST-0246","PROD-0004","11","0.00","6404.09","2844.60","First Class"
"11","ORD-04437","2023-07-19","2023-07-20","CUST-0231","PROD-0001","3","0.00","1372.14","534.78","Second Class"
"12","ORD-03411","2025-03-12","2025-03-13","CUST-0157","PROD-0028","5","0.00","115.95","37.80","Standard Class"
"13","ORD-01578","2024-03-18","2024-03-24","CUST-0128","PROD-0007","9","0.10","3318.16","721.12","First Class"
"14","ORD-01809","2025-11-30","2025-12-05","CUST-0250","PROD-0027","11","0.00","777.70","339.68","First Class"
"15","ORD-04850","2023-08-13","2023-08-20","CUST-0180","PROD-0006","8","0.00","5659.52","2459.76","First Class"
"16","ORD-06077","2024-03-06","2024-03-08","CUST-0073","PROD-0015","7","0.20","499.02","85.46","Standard Class"
"17","ORD-04425","2024-12-12","2024-12-17","CUST-0154","PROD-0027","3","0.05","201.50","82.04","Second Class"
"18","ORD-00782","2025-01-25","2025-01-26","CUST-0177","PROD-0001","11","0.00","5031.18","1960.86","Standard Class"
"19","ORD-00764","2025-08-16","2025-08-23","CUST-0243","PROD-0008","9","0.20","1060.06","281.38","First Class"
"20","ORD-06030","2024-07-13","2024-07-15","CUST-0249","PROD-0027","12","0.00","848.40","370.56","Standard Class"
"21","ORD-00138","2025-02-21","2025-02-27","CUST-0073","PROD-0017","11","0.20","823.59","275.02","Second Class"
"22","ORD-05253","2024-12-21","2024-12-26","CUST-0189","PROD-0007","10","0.00","4096.50","1210.90","Standard Class"
"23","ORD-02149","2023-07-21","2023-07-22","CUST-0181","PROD-0021","7","0.00","487.83","126.98","Second Class"
"24","ORD-03428","2025-10-16","2025-10-21","CUST-0067","PROD-0039","10","0.10","5797.44","1615.74","Second Class"
"25","ORD-00421","2024-06-29","2024-06-30","CUST-0055","PROD-0031","3","0.05","502.71","116.94","Standard Class"
"26","ORD-04847","2025-08-24","2025-08-28","CUST-0051","PROD-0005","1","0.05","247.91","87.18","Standard Class"
"27","ORD-04283","2025-08-05","2025-08-10","CUST-0117","PROD-0011","11","0.00","4951.10","1187.12","Same Day"
"28","ORD-04362","2025-09-20","2025-09-22","CUST-0158","PROD-0037","3","0.00","2177.82","853.47","Standard Class"
"29","ORD-02371","2025-08-29","2025-09-03","CUST-0156","PROD-0018","5","0.00","392.15","140.95","Standard Class"
"30","ORD-05583","2025-10-07","2025-10-09","CUST-0249","PROD-0035","8","0.00","3347.52","1061.92","Second Class"
"31","ORD-01589","2025-08-27","2025-09-03","CUST-0007","PROD-0015","12","0.00","1069.32","360.36","Standard Class"
"32","ORD-03476","2024-07-01","2024-07-03","CUST-0102","PROD-0014","11","0.00","2056.56","817.85","Second Class"
"33","ORD-05871","2023-12-31","2024-01-03","CUST-0002","PROD-0024","9","0.05","757.70","321.38","Standard Class"
"34","ORD-00251","2025-10-19","2025-10-25","CUST-0168","PROD-0017","8","0.00","748.72","349.76","First Class"
"35","ORD-04188","2025-06-13","2025-06-14","CUST-0030","PROD-0016","12","0.00","435.60","146.16","Standard Class"
"36","ORD-04322","2024-06-19","2024-06-22","CUST-0249","PROD-0001","9","0.00","4116.42","1604.34","Standard Class"
"37","ORD-05271","2025-01-07","2025-01-09","CUST-0213","PROD-0008","8","0.15","1001.16","309.00","Same Day"
"38","ORD-02019","2024-06-18","2024-06-22","CUST-0032","PROD-0020","8","0.20","340.03","95.55","First Class"
"39","ORD-03110","2023-11-06","2023-11-12","CUST-0152","PROD-0006","11","0.00","7781.84","3382.17","Standard Class"
"40","ORD-06407","2025-09-16","2025-09-23","CUST-0071","PROD-0016","5","0.00","181.50","60.90","Second Class"
"41","ORD-04394","2025-06-10","2025-06-16","CUST-0175","PROD-0011","9","0.05","3848.36","768.74","First Class"
"42","ORD-00687","2025-08-15","2025-08-19","CUST-0196","PROD-0029","7","0.10","293.71","83.85","Standard Class"
"43","ORD-03184","2024-11-11","2024-11-13","CUST-0068","PROD-0005","4","0.00","1043.84","400.92","Standard Class"
